UUID,LINK,MODEL,CATEGORY,BRAND
5ec72fdc-e0e7-4e9f-b167-42abb0b59701,https://www.zappos.com//p/adidas-running-alphabounce-cityrun-orchid-tint-white-gold-metallic/product/9056055/color/752894,Alphabounce Cityrun,Sneakers & Athletic Shoes,adidas Running
61958332-16d3-4212-b128-36c949776dbd,https://www.zappos.com//p/adidas-running-edge-lux-clima-black-carbon-white/product/8984642/color/28622,Edge Lux Clima,Sneakers & Athletic Shoes,adidas Running
f42f360b-e24f-4625-be7d-896067678322,https://www.zappos.com//p/oofos-ooahh-sport-sandal-smoke/product/8864632/color/1162,OOahh Sport Sandal,Sandals,OOFOS
021bfcb7-4337-4853-9e17-ece3e1621d58,https://www.zappos.com//p/bogs-kids-baby-bogs-flower-dot-toddler-violet-multi/product/9070902/color/37679,Baby Bogs Flower Dot (Toddler),Boots,Bogs Kids
97012eab-2347-45ae-9ca6-f3d76aca5f10,https://www.zappos.com//p/sam-edelman-yaro-ankle-strap-sandal-heel-black-vaquero-saddle-leather/product/8828722/color/613574,Yaro Ankle Strap Sandal Heel,Heels,Sam Edelman
86e8cc67-b0ce-4991-8c7d-ffca848be67a,https://www.zappos.com//p/sam-edelman-felicia-grey-matte-diamante-snake-leather/product/7874781/color/759894,Felicia,Flats,Sam Edelman
816fe300-3b76-4c9f-a385-452a65f75431,https://www.zappos.com//p/nike-phantomx-3-club-ic-black-black-light-crimson/product/9012579/color/534537,PhantomX 3 Club IC,Sneakers & Athletic Shoes,Nike
5db26a08-10a8-4e76-b141-9d414b98121d,https://www.zappos.com//p/nike-phantom-vsn-club-df-mg-black-black-light-crimson/product/9056094/color/534537,Phantom VSN Club DF MG,Sneakers & Athletic Shoes,Nike
af9c3bbf-12a2-4f88-a634-d58a29788745,https://www.zappos.com//p/havaianas-top-flip-flops-navy-blue/product/7579772/color/18914,Top Flip Flops,Sandals,Havaianas
35a7cd7c-32f3-474a-8872-24e9fbf68c3a,https://www.zappos.com//p/superga-imagine-dragons-2750-cotu-classic-monochrome/product/9177552/color/25271,Imagine Dragons 2750 COTU Classic,Sneakers & Athletic Shoes,Superga
16a3a80f-3908-4611-ad60-6f0051592a4a,https://www.zappos.com//p/sam-edelman-felicia-grey-multi-clouded-leopard-brahma-hair/product/7874781/color/765756,Felicia,Flats,Sam Edelman
cdc8c7b6-c81e-4f86-8efe-d24523cb62cc,https://www.zappos.com//p/asics-kids-gt-1000-7-toddler-little-kid-azure-fuchsia-purple/product/9053753/color/751828,GT-1000 7 (Toddler/Little Kid),Sneakers & Athletic Shoes,ASICS Kids
fec796a2-1af4-4746-b15e-181029ee57f0,https://www.zappos.com//p/sam-edelman-jolene-classic-nude-patent/product/9085754/color/476875,Jolene,Heels,Sam Edelman
9f65b0bc-900b-456f-8bec-e5571e9d8a25,https://www.zappos.com//p/bogs-kids-b-moc-reef-toddler-little-kid-purple-multi/product/9070889/color/5540,B-Moc Reef (Toddler/Little Kid),Boots,Bogs Kids
95c55021-dfe7-411e-98ad-099367cb1e37,https://www.zappos.com//p/clarks-everlay-heidi-navy-leather/product/8892418/color/492,Everlay Heidi,Loafers,Clarks
9b834a0a-8906-4189-bb56-63c0c10b2130,https://www.zappos.com//p/nike-free-tr-8-pure-platinum-white-igloo/product/9012458/color/737421,Free TR 8,Sneakers & Athletic Shoes,Nike
d7dc2fdd-b020-465d-b42a-e41e0c266852,https://www.zappos.com//p/nike-kids-superfly-6-academy-mg-soccer-little-kid-big-kid-black-total-orange-white/product/9012548/color/287777,Superfly 6 Academy MG Soccer (Little Kid/Big Kid),Sneakers & Athletic Shoes,Nike Kids
d85d83ac-399c-4096-9aa3-e6fbddb75709,https://www.zappos.com//p/dirty-laundry-dl-night-owl-pump-pebble-taupe/product/8983898/color/681357,DL Night Owl Pump,Heels,Dirty Laundry
c91894fe-3a3c-405e-9093-810cf892b636,https://www.zappos.com//p/vans-ultrarange-hi-breeze-asphalt-asphalt/product/8953545/color/730514,UltraRange Hi,Sneakers & Athletic Shoes,Vans
b8ed1692-655d-44c9-a536-97edb2cbc3b9,https://www.zappos.com//p/arcopedico-liana-black-suede/product/7853603/color/106,Liana,Boots,Arcopedico
52b79ffb-c201-455d-b520-3a4981747204,https://www.zappos.com//p/nike-sb-kids-mogan-mid-2-jr-little-kid-big-kid-black-white-volt-wolf-grey/product/8807393/color/740885,Mogan Mid 2 Jr (Little Kid/Big Kid),Sneakers & Athletic Shoes,Nike SB Kids
7fcfc7f9-c416-42ac-9443-f6a551cb3561,https://www.zappos.com//p/florsheim-kids-midtown-plain-ox-jr-toddler-little-kid-big-kid-cognac/product/8902625/color/184651,"Midtown Plain Ox, Jr. (Toddler/Little Kid/Big Kid)",Oxfords,Florsheim Kids
df793f2b-8145-4a84-a098-f0736edecf33,https://www.zappos.com//p/timberland-pro-titan-waterproof-6-alloy-safety-toe-dark-mocha-full-grain-leather/product/7171737/color/39335,"TiTAN® Waterproof 6"" Alloy Safety Toe",Boots,Timberland PRO
60f41b04-baa9-4dd0-a586-77f27cbdb89d,https://www.zappos.com//p/walking-cradles-joy-black-patent-snake/product/8744068/color/117311,Joy,Heels,Walking Cradles
f147eb5b-f8e0-4018-8239-730004128d22,https://www.zappos.com//p/sanuk-donna-hemp-black/product/8058091/color/3,Donna Hemp,Loafers,Sanuk
90740ce3-3301-4eb3-b3bd-6af8f2ef1e37,https://www.zappos.com//p/converse-kids-hello-kitty-one-star-2v-ox-infant-toddler-black/product/9110680/color/3,Hello Kitty® One Star 2V - Ox (Infant/Toddler),Sneakers & Athletic Shoes,Converse Kids
ca900d71-a694-4200-8ef5-54765d04612d,https://www.zappos.com//p/jbu-parker-brown/product/8938356/color/6,Parker,Boots,JBU
519e5b39-4500-4d62-af1c-9ed66fb7c6a0,https://www.zappos.com//p/sperry-saltwater-nylon-quilt-navy/product/9061534/color/9,Saltwater Nylon Quilt,Boots,Sperry
b0d36101-c06c-4bc1-8177-7ce06be2684f,https://www.zappos.com//p/new-balance-kids-kvurgv2p-little-kid-ice-blue-pink-zing/product/8983519/color/754112,KVURGv2P (Little Kid),Sneakers & Athletic Shoes,New Balance Kids
3ad14396-076d-4142-87ae-6ebc43824afc,https://www.zappos.com//p/crocs-capri-mule-khaki-tumbleweed/product/8990949/color/731352,Capri Mule,Clogs & Mules,Crocs
5a96d397-4123-49db-a3df-76f2835001f1,https://www.zappos.com//p/adidas-x-tango-18-4-tf-world-cup-pack-football-blue-solar-yellow-black/product/9047773/color/749834,X Tango 18.4 TF World Cup Pack,Sneakers & Athletic Shoes,adidas
367d3f65-391a-4087-b040-543250560aa4,https://www.zappos.com//p/marc-fisher-ltd-zala-pump-medium-natural-suede/product/8735611/color/53401,Zala Pump,Heels,Marc Fisher LTD
ad7b21a6-d26f-4bea-8a3e-a7b25b99a1a5,https://www.zappos.com//p/aldo-emely-grey/product/8963573/color/401,Emely,Boots,ALDO
22862bfc-bd49-47ff-b810-5736cbcce88e,https://www.zappos.com//p/mini-melissa-mini-furadinha-x-toddler-little-kid-light-pink-mattte/product/8914723/color/745164,Mini Furadinha X (Toddler/Little Kid),Flats,Mini Melissa
93036096-44f6-4ae3-83d1-6ddf9667f621,https://www.zappos.com//p/sperry-maya-lani-black-suede/product/9060857/color/106,Maya Lani,Boots,Sperry
bac56350-3152-4d56-b624-fb369d4f3734,https://www.zappos.com//p/sperry-gold-harpswell-driver-with-asv-brown-sugar/product/8792105/color/9044,Gold Harpswell Driver with ASV,Loafers,Sperry
2d9ed316-f28c-42d3-bd39-764f55a98279,https://www.zappos.com//p/comfortiva-carrie-steel-grey-oiled-cow-suede-anthracite-cometa-metallic/product/9107720/color/772960,Carrie,Boots,Comfortiva
4206f777-f184-4a54-acd4-58adb197fe39,https://www.zappos.com//p/blue-by-betsey-johnson-gina-champagne/product/8748773/color/270,Gina,Heels,Blue by Betsey Johnson
e777e8a2-e5f7-4e49-a72c-3e46e4ccbeb8,https://www.zappos.com//p/rockport-style-leader-2-bike-toe-oxford-truffle-tan/product/8484136/color/671131,Style Leader 2 Bike Toe Oxford,Oxfords,Rockport
