UUID,LINK,MODEL,CATEGORY,BRAND
a7db2e9f-a47b-4540-8a53-d24f2e91e6b8,https://www.zappos.com//p/blundstone-587-rustic-black/product/8467038/color/114558,587,Boots,Blundstone
8b0867a9-b612-4c08-8022-59db8d5c19de,https://www.zappos.com//p/sebago-clovehitch-ii-medium-brown/product/7271610/color/3561,Clovehitch II,Boat Shoes,Sebago
40138178-10a9-40e7-92fe-50e2f123c611,https://www.zappos.com//p/toms-deconstructed-alpargata-blue-slub-chambray/product/8803889/color/661189,Deconstructed Alpargata,Loafers,TOMS
670c45cf-3657-4e56-80ca-4fd650e9b3df,https://www.zappos.com//p/cole-haan-rockland-boot-chestnut-leahter/product/8573885/color/576209,Rockland Boot,Boots,Cole Haan
2d559b23-c770-4a5f-812f-7de2fa91f252,https://www.zappos.com//p/eric-michael-london-green/product/8393805/color/396,London,Boots,Eric Michael
66ce6527-215f-4bf5-9101-450754212dcd,https://www.zappos.com//p/adidas-eqt-support-ultra-tragrn-utiivy-utigre/product/9127080/color/778637,EQT Support Ultra,Sneakers & Athletic Shoes,adidas
07adbe4a-4790-4580-886e-ae66642ac4f2,https://www.zappos.com//p/adidas-iniki-runner-red-ftwwht-gum3/product/9127087/color/778644,Iniki Runner,Sneakers & Athletic Shoes,adidas
2ce83f4e-bb91-4f30-b4b8-9eae1ba32ccd,https://www.zappos.com//p/nine-west-soho9x9-black-synthetic/product/8947357/color/973,Soho9x9,Heels,Nine West
e2f92647-7ac1-474a-ba0d-1650a5d90d0d,https://www.zappos.com//p/naot-matai-luggage-brown-leather/product/7308800/color/425775,Matai,Flats,Naot
234a7b86-a3cd-4bde-9140-f4980f42b7c7,https://www.zappos.com//p/pikolinos-zaragoza-w9h-8800-olmo/product/8743367/color/202581,Zaragoza W9H-8800,Boots,Pikolinos
b6ca16ed-3df3-47ba-99db-3fff92dd900b,https://www.zappos.com//p/livie-luca-cora-infant-milk/product/8656941/color/21550,Cora (Infant),Crib Shoes,Livie & Luca
cc5bf81d-d63c-4663-808b-0aa208c316f8,https://www.zappos.com//p/dc-kids-heathrow-little-kid-big-kid-blue-blue-blue/product/8805413/color/30309,Heathrow (Little Kid/Big Kid),Sneakers & Athletic Shoes,DC Kids
3229e2e2-fe82-4d73-8d0f-a48bf878ca7b,https://www.zappos.com//p/new-balance-golf-nbg2004-grey-blue/product/8847730/color/409,NBG2004,Sneakers & Athletic Shoes,New Balance Golf
