UUID,LINK,MODEL,CATEGORY,BRAND
03de3d67-51c6-427b-acba-d30fb3a93dd3,https://www.zappos.com//p/roxy-kids-mikala-little-kid-big-kid-tan/product/8999621/color/20,Mikala (Little Kid/Big Kid),Sandals,Roxy Kids
0b35d61f-a350-48ff-ab4a-7645b9ddc70d,https://www.zappos.com//p/saucony-originals-bullet-light-tan/product/7294452/color/6194,Bullet,Sneakers & Athletic Shoes,Saucony Originals
9fdf68ad-7805-42df-96d7-82fe2547b4b1,https://www.zappos.com//p/eric-michael-kingston-black/product/8841860/color/3,Kingston,Heels,Eric Michael
0ce9f109-9b7d-4437-9119-be05a71ee4dd,https://www.zappos.com//p/sbicca-noelani-black/product/9124409/color/3,Noelani,Boots,Sbicca
a24a8308-8a8e-476d-a5c8-5fe447af49dc,https://www.zappos.com//p/pelle-moda-roslyn-black-patent/product/9089774/color/89,Roslyn,Heels,Pelle Moda
7db1ee54-8d33-432c-a124-7866bd738b69,https://www.zappos.com//p/roxy-kids-lahaina-ii-little-kid-big-kid-white/product/8999622/color/14,Lahaina II (Little Kid/Big Kid),Sandals,Roxy Kids
c6e5c071-021b-4653-906e-8108ab15499b,https://www.zappos.com//p/eric-michael-crystal-navy/product/8841859/color/9,Crystal,Heels,Eric Michael
4706eb68-1537-4f46-8bb4-bd16f23e1b5a,https://www.zappos.com//p/speedo-surfwalker-pro-3-0-navy/product/8643817/color/9,Surfwalker Pro 3.0,Sneakers & Athletic Shoes,Speedo
427be497-86e3-42fa-8a29-a6e7a506aeeb,https://www.zappos.com//p/pikolinos-irun-moe-4244so-taupe/product/9100096/color/11,Irun Moe 4244SO,Oxfords,Pikolinos
b0792c8c-75d7-4f98-88a4-30d6665aa995,https://www.zappos.com//p/eric-michael-martha-black/product/8841876/color/3,Martha,Sandals,Eric Michael
b04f1495-966b-417d-b0cf-1b89ab642684,https://www.zappos.com//p/roxy-kids-porto-little-kid-big-kid-cream/product/8999650/color/1892,Porto (Little Kid/Big Kid),Sandals,Roxy Kids
2ea5436f-7087-4efb-8a3d-706dc03aae67,https://www.zappos.com//p/michael-michael-kors-jet-set-mk-jelly-tortoise-pvc/product/8064642/color/612403,Jet Set MK Jelly,Sandals,MICHAEL Michael Kors
e5be3eb4-b819-472b-8e33-0bb51d3d2c07,https://www.zappos.com//p/sam-edelman-manchester-deep-burgundy-wine-velutto-suede-leather-modena-calf-leather/product/9131006/color/780024,Manchester,Boots,Sam Edelman
76427d89-687b-4fcc-b103-f78ed60e4bd6,https://www.zappos.com//p/chaco-z-cloud-x2-foster-brick/product/8641344/color/753543,Z/Cloud X2,Sandals,Chaco
74f7cacb-cf68-4700-936f-707f26e8c176,https://www.zappos.com//p/merrell-around-town-sunvue-thong-woven-black/product/8980277/color/3,Around Town Sunvue Thong Woven,Sandals,Merrell
78ba9d2c-4969-4fa9-8f33-e70c8091be74,https://www.zappos.com//p/magnanni-reva-taupe-suede/product/8895445/color/691,Reva,Loafers,Magnanni
d8edfb01-7e24-4705-b0ff-679b7c0f0dbb,https://www.zappos.com//p/kenneth-cole-reaction-casino-chukka-dark-grey/product/9049390/color/4854,Casino Chukka,Boots,Kenneth Cole Reaction
e12b6f8a-abdb-4d67-a7ad-937805c2d8e3,https://www.zappos.com//p/rockport-cobb-hill-collection-cobb-hill-helen-white/product/8476750/color/14,Cobb Hill Helen,Heels,Rockport Cobb Hill Collection
25eb4cf8-1b64-4551-908e-8973d9a58d42,https://www.zappos.com//p/ugg-customizable-bailey-bow-short-ribbon-red/product/9076280/color/18126,Customizable Bailey Bow Short,Boots,UGG
dc78b047-19ad-4e44-a7f0-5d0fa65efebd,https://www.zappos.com//p/ugg-customizable-bailey-bow-mini-chestnut/product/9076281/color/278,Customizable Bailey Bow Mini,Boots,UGG
bd2bdae9-d81a-45ad-99ea-2d1468560a29,https://www.zappos.com//p/kenneth-cole-reaction-drue-boot-b-black/product/9100120/color/3,Drue Boot B,Boots,Kenneth Cole Reaction
aa59d92d-4aed-49f6-9840-0a32f338bec2,https://www.zappos.com//p/ugg-customizable-bailey-bow-mini-charcoal/product/9076281/color/275,Customizable Bailey Bow Mini,Boots,UGG
35e67b7f-bdda-4806-bfd4-431e203b846d,https://www.zappos.com//p/ugg-kids-zippie-infant-toddler-navy-seal/product/8980341/color/42720,Zippie (Infant/Toddler),Crib Shoes,UGG Kids
ca794e82-c612-4097-ab68-e34b96b110fe,https://www.zappos.com//p/frye-belted-harness-mule-chestnut-leather/product/7165046/color/281,Belted Harness Mule,Clogs & Mules,Frye
