UUID,LINK,MODEL,CATEGORY,BRAND
b398ec63-4e01-454a-84e6-5ddd6f5b8fdc,https://www.zappos.com//p/naot-brisote-coffee-bean-nubuck/product/9069748/color/79834,Brisote,Boots,Naot
1877994a-83c2-44aa-9b19-bebab7a0101a,https://www.zappos.com//p/ecco-st1-sneaker-morillo-calf-leather/product/9045284/color/748872,ST1 Sneaker,Sneakers & Athletic Shoes,ECCO
73e963f8-5f6e-4895-be46-f4bc9ec86dd9,https://www.zappos.com//p/flojos-cole-2-0-black/product/9045286/color/3,Cole 2.0,Sandals,Flojos
f5fa3817-2a3b-43ae-bdc5-12e38bb3ec45,https://www.zappos.com//p/flojos-cole-2-0-dark-brown/product/9045286/color/325,Cole 2.0,Sandals,Flojos
6b00c078-0e24-437f-b548-ceedca627696,https://www.zappos.com//p/florsheim-lakeside-slip-indigo-smooth-suede/product/7898171/color/736285,Lakeside Slip,Boat Shoes,Florsheim
65c47857-77c6-4293-97de-e8a0c87e0a20,https://www.zappos.com//p/stuart-weitzman-mira-black-suede/product/9014868/color/106,Mira,Heels,Stuart Weitzman
ff50978a-80db-4fcf-ab76-4859320b83e0,https://www.zappos.com//p/lifestride-novak-taupe/product/8846933/color/11,Novak,Heels,LifeStride
12969704-6e74-4171-ade8-2b25971584e4,https://www.zappos.com//p/mini-melissa-mel-campana-zigzag-little-kid-black/product/8630201/color/3,Mel Campana Zigzag (Little Kid),Flats,Mini Melissa
ab68034a-d132-403c-b21d-4dbfd86c803f,https://www.zappos.com//p/ecco-sense-elastic-toggle-metallic-stone-stone-cow-leather/product/8868128/color/748886,Sense Elastic Toggle,Sneakers & Athletic Shoes,ECCO
c777a340-9e83-4f52-952f-8ffe817b5a31,https://www.zappos.com//p/soludos-velvet-llama-sneaker-sangria/product/8984988/color/42243,Velvet Llama Sneaker,Sneakers & Athletic Shoes,Soludos
ba5cca2c-8d1d-455e-aa9e-c2202c45e189,https://www.zappos.com//p/clergerie-belen-black-leather-calf/product/9117074/color/543551,Belen,Boots,Clergerie
7e6a96fa-2238-45ae-9fc4-4c4cf1925f88,https://www.zappos.com//p/hunter-original-refined-chelsea-gloss-tawny/product/8787493/color/4749,Original Refined Chelsea Gloss,Boots,Hunter
baa5c5a1-4697-41c8-97a1-f3f4f688b51f,https://www.zappos.com//p/ugg-lilou-black/product/8733927/color/3,Lilou,Boots,UGG
ccffbb7d-c22d-4d56-9616-e99b95b345db,https://www.zappos.com//p/stacy-adams-kids-brewster-little-kid-big-kid-cognac/product/8745626/color/184651,Brewster (Little Kid/Big Kid),Oxfords,Stacy Adams Kids
c7c725dd-ea26-4092-9ca4-fde2cab4bafc,https://www.zappos.com//p/merrell-work-jungle-moc-ct-espresso/product/8989541/color/359,Jungle Moc CT,Sneakers & Athletic Shoes,Merrell Work
06a9c25b-b341-42c4-b066-760ea354ffcd,https://www.zappos.com//p/converse-skate-ctas-pro-ox-skate-suede-black-white-2/product/8354729/color/776401,CTAS Pro Ox Skate,Sneakers & Athletic Shoes,Converse Skate
190ff143-a3b8-4c54-874e-ee66cba8e8e4,https://www.zappos.com//p/seychelles-leisure-black-suede/product/9016942/color/106,Leisure,Sandals,Seychelles
e0027b9f-d2ed-4e87-b0e6-b37f89ff328b,https://www.zappos.com//p/taryn-rose-carson-weatherproof-black-calf-suede/product/9113233/color/3468,Carson Weatherproof,Sneakers & Athletic Shoes,Taryn Rose
